date,Tn,Tx,Tavg,RH_avg,RR,ss,ff_x,ddd_x,ff_avg,ddd_car,Station Name,Latitude,Longitude,Elevation
2022-12-09,21.2,28.6,24.9,78.0,1.0,10.1,3.0,30.0,1.0,W ,Stasiun Geofisika Nganjuk,-7.73486,111.76682,723.0
2022-10-30,19.6,27.7,24.6,79.0,0.0,3.1,2.0,350.0,1.0,N ,Stasiun Geofisika Nganjuk,-7.73486,111.76682,723.0
2022-09-15,20.6,30.2,26.1,68.0,0.0,9.2,2.0,80.0,1.0,E ,Stasiun Geofisika Nganjuk,-7.73486,111.76682,723.0
2022-08-21,20.0,29.0,24.0,78.0,0.0,6.0,2.0,90.0,1.0,E ,Stasiun Geofisika Nganjuk,-7.73486,111.76682,723.0
2022-08-16,20.4,28.4,24.2,84.0,8.0,5.9,2.0,360.0,1.0,N ,Stasiun Geofisika Nganjuk,-7.73486,111.76682,723.0
2022-08-06,19.2,29.0,24.0,71.0,0.0,10.5,2.0,10.0,1.0,NE,Stasiun Geofisika Nganjuk,-7.73486,111.76682,723.0
2022-08-01,19.2,29.5,23.0,64.0,0.0,7.4,2.0,180.0,1.0,NE,Stasiun Geofisika Nganjuk,-7.73486,111.76682,723.0
2022-07-27,19.8,29.0,24.3,76.0,0.0,10.3,3.0,10.0,1.0,N ,Stasiun Geofisika Nganjuk,-7.73486,111.76682,723.0
2022-07-12,19.8,29.0,25.2,77.0,0.0,6.7,2.0,60.0,1.0,N ,Stasiun Geofisika Nganjuk,-7.73486,111.76682,723.0
2022-07-07,17.0,28.4,23.3,82.0,0.0,5.2,3.0,350.0,1.0,N ,Stasiun Geofisika Nganjuk,-7.73486,111.76682,723.0
2022-06-27,21.0,28.2,23.9,86.0,0.0,6.7,3.0,10.0,1.0,N ,Stasiun Geofisika Nganjuk,-7.73486,111.76682,723.0
2022-06-22,17.8,28.6,23.9,74.0,0.0,8.5,2.0,80.0,1.0,E ,Stasiun Geofisika Nganjuk,-7.73486,111.76682,723.0
2022-05-28,20.6,29.0,24.8,80.0,0.0,0.3,3.0,350.0,1.0,N ,Stasiun Geofisika Nganjuk,-7.73486,111.76682,723.0
2022-05-23,21.0,28.4,24.9,77.0,0.0,9.0,3.0,170.0,2.0,NE,Stasiun Geofisika Nganjuk,-7.73486,111.76682,723.0
2022-05-18,21.6,29.4,24.6,82.0,0.0,7.0,2.0,90.0,1.0,N ,Stasiun Geofisika Nganjuk,-7.73486,111.76682,723.0
2022-05-13,21.6,28.8,25.2,85.0,3.0,3.9,2.0,20.0,1.0,N ,Stasiun Geofisika Nganjuk,-7.73486,111.76682,723.0
