date,Tn,Tx,Tavg,RH_avg,RR,ss,ff_x,ddd_x,ff_avg,ddd_car,Station Name,Latitude,Longitude,Elevation,formatted_date,image_path,color_mean_R,color_mean_G,color_mean_B,color_median_R,color_median_G,color_median_B,color_std_R,color_std_G,color_std_B,ndvi,contrast,correlation,energy,homogeneity,class
2022-12-09,21.2,28.6,24.9,78.0,1.0,10.1,3.0,30.0,1.0,W ,Stasiun Geofisika Nganjuk,-7.73486,111.76682,723.0,2022-12-09,/Users/rau/Desktop/Asa/NDVI_Stasiun Geofisika Nganjuk (3)/2022-12-09.png,121.75472259521484,203.12193298339844,79.36119079589844,131.0,211.0,75.0,57.73371124267578,20.86356544494629,35.052452087402344,0.30072590708732605,5654.635710528744,0.4949180217232768,0.484384652586088,9.692175232127754,8
2022-10-30,19.6,27.7,24.6,79.0,0.0,3.1,2.0,350.0,1.0,N ,Stasiun Geofisika Nganjuk,-7.73486,111.76682,723.0,2022-10-30,/Users/rau/Desktop/Asa/NDVI_Stasiun Geofisika Nganjuk (3)/2022-10-30.png,132.32650756835938,207.74310302734375,72.91645050048828,149.0,215.0,63.0,48.12751007080078,17.502588272094727,29.479705810546875,0.25546613335609436,5899.820651794332,0.4656147573457782,0.4843943473455921,9.31101181614346,8
2022-09-15,20.6,30.2,26.1,68.0,0.0,9.2,2.0,80.0,1.0,E ,Stasiun Geofisika Nganjuk,-7.73486,111.76682,723.0,2022-09-15,/Users/rau/Desktop/Asa/NDVI_Stasiun Geofisika Nganjuk (3)/2022-09-15.png,136.18978881835938,210.1995849609375,70.61260223388672,149.0,215.0,63.0,40.874267578125,13.19802188873291,24.9237060546875,0.23623281717300415,5728.053334766398,0.4556242900248847,0.480412416239799,9.091910964185663,7
2022-08-21,20.0,29.0,24.0,78.0,0.0,6.0,2.0,90.0,1.0,E ,Stasiun Geofisika Nganjuk,-7.73486,111.76682,723.0,2022-08-21,/Users/rau/Desktop/Asa/NDVI_Stasiun Geofisika Nganjuk (3)/2022-08-21.png,139.90318298339844,210.30186462402344,68.16139221191406,154.0,216.0,60.0,47.639060974121094,15.029382705688477,29.064403533935547,0.23059242963790894,6058.340627473227,0.4772753623733475,0.4808486368619036,9.362482289779937,0
2022-08-16,20.4,28.4,24.2,84.0,8.0,5.9,2.0,360.0,1.0,N ,Stasiun Geofisika Nganjuk,-7.73486,111.76682,723.0,2022-08-16,/Users/rau/Desktop/Asa/NDVI_Stasiun Geofisika Nganjuk (3)/2022-08-16.png,93.6220932006836,179.40304565429688,107.29525756835938,33.0,167.0,132.0,96.75413513183594,33.099300384521484,43.57361602783203,0.45911088585853577,3800.283885220394,0.5881586060330046,0.6342437439823225,6.920853297702519,3
2022-08-06,19.2,29.0,24.0,71.0,0.0,10.5,2.0,10.0,1.0,NE,Stasiun Geofisika Nganjuk,-7.73486,111.76682,723.0,2022-08-06,/Users/rau/Desktop/Asa/NDVI_Stasiun Geofisika Nganjuk (3)/2022-08-06.png,142.6039581298828,211.73861694335938,66.55657958984375,154.0,216.0,60.0,41.996490478515625,12.631698608398438,25.73695945739746,0.21721869707107544,5965.860840958891,0.4675964052780429,0.4853259620808688,9.015653594443986,7
2022-08-01,19.2,29.5,23.0,64.0,0.0,7.4,2.0,180.0,1.0,NE,Stasiun Geofisika Nganjuk,-7.73486,111.76682,723.0,2022-08-01,/Users/rau/Desktop/Asa/NDVI_Stasiun Geofisika Nganjuk (3)/2022-08-01.png,158.63885498046875,215.1337432861328,56.620216369628906,173.0,220.0,48.0,43.268592834472656,12.032498359680176,26.55948257446289,0.17186202108860016,6580.442126190021,0.4989098067951476,0.48813737107777067,8.950412514519222,0
2022-07-27,19.8,29.0,24.3,76.0,0.0,10.3,3.0,10.0,1.0,N ,Stasiun Geofisika Nganjuk,-7.73486,111.76682,723.0,2022-07-27,/Users/rau/Desktop/Asa/NDVI_Stasiun Geofisika Nganjuk (3)/2022-07-27.png,157.8456573486328,214.9442596435547,57.031349182128906,173.0,220.0,48.0,43.07516098022461,12.307914733886719,26.47759437561035,0.17418910562992096,6437.146951611664,0.5001011284459566,0.4916426391228015,8.821208958922792,0
2022-07-12,19.8,29.0,25.2,77.0,0.0,6.7,2.0,60.0,1.0,N ,Stasiun Geofisika Nganjuk,-7.73486,111.76682,723.0,2022-07-12,/Users/rau/Desktop/Asa/NDVI_Stasiun Geofisika Nganjuk (3)/2022-07-12.png,90.88837432861328,183.04661560058594,106.34925079345703,44.0,177.0,125.0,85.24821472167969,30.168903350830078,38.75545883178711,0.4492139518260956,3889.6882632888114,0.560884042002187,0.5943485507056154,7.963679172057565,6
2022-07-07,17.0,28.4,23.3,82.0,0.0,5.2,3.0,350.0,1.0,N ,Stasiun Geofisika Nganjuk,-7.73486,111.76682,723.0,2022-07-07,/Users/rau/Desktop/Asa/NDVI_Stasiun Geofisika Nganjuk (3)/2022-07-07.png,63.028419494628906,176.01602172851562,116.62284851074219,36.0,170.0,130.0,46.36734390258789,24.51527214050293,27.080398559570312,0.5262736082077026,4886.185349976336,0.5026928413661482,0.5343004695553922,8.975930988818705,1
